Taxon,TOTL,QUADOFF,SYMPH,%DENTITION,FEN%,AMA,PMA,OMA,MAXI,AVRI,MAXJ,AVJ,CUSPMAX,CURVMAX
Purranisaurus casamiquelai,61.91,0.035858504,34.43709,33.51639477,0,0.136609,0.209458,0.084335,4.071429,1.16987,0.434838,0.86907,?,?
Dakosaurus andiniensis ,72.09,0.041475933,?,42.83534471,0,0.224955,0.403518,0.076795,?,?,?,?,?,?
Dakosaurus maximus,101.88,0.050451512,?,39.52689439,0,0.203863,0.358672,0.141454,?,?,?,?,2.666666667,67.31
Geosaurus giganteus,46.66,0.07886841,?,51.28589799,0,0.111673,0.240713,0.045267,?,?,?,?,3.220930233,85.02
Metriorhynchus moreli ,66.61,0.064040238,46.54633,47.69425953,0,0.087627,0.176964,0.096333,3.211582,1.968338,0.534592,0.725477,?,?
Metriorhynchus superciliosus 1,86.05,0.041603719,48.76235,41.75479372,0,0.098337,0.181357,0.09323,5.259067,2.362798,0.350543,0.650692,1.62345679,78.35
Metriorhynchus superciliosus 2,67.685,0.055783493,43.64989,43.52122636,?,0.082283,0.156293,0.098421,2.874379,2.037882,0.576613,0.712384,1.701357466,82.97
Cricosaurus suevicus,39.99,0.025256314,?,48.81220305,0,0.098126,0.206138,0.074421,?,?,?,?,1.959183673,66.888
Cricosaurus araucanensis,43.29,0.014553015,54.51605,41.21044121,0,0.126074,0.217195,0.029847,2.792,1.422296,0.581108,0.83357,2.25,84.99
Montealtosuchus arrudacamposi,24.99,0.022008804,20.32813,38.85554222,9.520288,0.266817,0.466088,0.195034,3.24812,1.780104,0.519831,0.763616,1.626666667,76.341
Uberabasuchus terrificus,28.06,0.048467569,15.28867,46.0085531,3.711675,0.210884,0.411808,0.069539,2.740566,1.593066,0.588801,0.801507,1.314917127,79.81
Mahajangasuchus insignis (UA 9737),65.67,0.083295264,?,43.2160804,2.162501,0.215056,0.401253,0.158862,?,?,?,?,1.776978417,83.88
Mahajangasuchus insignis (UA 8654),47.41,0.071292976,7.530057,46.59354567,2.56064,0.217097,0.427078,0.160106,3.150602,1.804038,0.531946,0.758716,?,?
Kaprosuchus saharicus ,57.15,0.064566929,14.22572,45.3368329,0.947998,0.318555,0.680999,0.278763,?,?,?,?,2.655870445,89.2
Caririsuchus camposi ,25.74,0.054390054,?,56.37140637,9.00022,0.150085,0.371188,0.048895,?,?,?,?,?,?
Itasuchus jesuinoi ,29.82,0.044936284,9.557344,54.42655936,10.12427,0.194118,0.467257,0.071324,?,?,?,?,?,?
Ischyrochampsa meridionalis,58.1,0.020998279,10.36145,45.35283993,2.494376,0.283241,0.495672,0.114704,2.089027,1.420777,0.701542,0.833834,?,?
Hsisosuchus chowi,24.29,0.021407987,17.12639,37.25813092,7.487015,0.191383,0.324615,0.118367,2.384146,1.546713,0.646935,0.810582,?,?
Hsisosuchus chungkingensis,25.88,0.052163833,23.33849,33.15301391,?,0.24245,0.381782,0.083369,2.731034,1.44499,0.590245,0.829567,?,?
Theriosuchus pusillus,8.28,0.089371981,?,42.87439614,0,0.202312,0.419162,0.242775,?,?,?,?,1.642857143,85.8
Shamosuchus gradilifrons ,31.91,0.139768098,10.15356,41.39768098,0,0.149675,0.285506,0.198167,2.350394,1.409351,0.652889,0.835807,?,?
Shamosuchus  djadochtaensis,11.65,0.099570815,?,32.10300429,0,0.250752,0.374251,0.184554,2.591837,1.442893,0.612017,0.829941,?,?
Bernissartia fagesii,12.02,0.110648918,14.55907,51.91347754,0,0.172483,0.397701,0.155533,2.37037,?,0.649356,?,2.03125,82.875
Laganosuchus thaumastos,80.65,0.020086795,2.901426,57.76813391,1.598017,0.119237,0.331398,0.1067,1.30137,1.252648,0.852906,0.859541,1.64893617,?
Stomatosuchus inermis,209.94,0.005763551,1.219396,0,0,0.122665,?,0.10787,3.466448,2.155209,0.494447,0.688813,?,?
Desmatosuchus haplocerus ,32.68,0.175642595,30.93635,17.59485924,8.83464,0.390852,0.520055,0.172037,?,?,?,?,1.785714286,86.86
Stagonolepis robertsoni,23.15,0.079913607,26.00432,24.83801296,19.12101,0.276376,0.399007,0.099197,5.53012,?,0.335584,?,1.411764706,88.61
Stagonolepis olenkae,26.37,0.088737201,24.11832,22.67728479,18.9062,0.292324,0.419204,0.121938,4.046875,?,0.436992,?,1.638297872,78.61
Neoaetosauroides engaeus,13.48,0.130563798,31.97329,24.40652819,17.98639,0.266156,0.411168,0.185104,?,?,?,?,1.615384615,86.19
Longosuchus meadi ,23.86,0.170578374,?,21.20704107,14.22724,0.349747,0.50271,0.202532,?,?,?,?,?,?
Nicrosaurus meyeri,62.75,0.014820717,?,65.7689243,14.46692,0.107087,0.36369,0.090023,4.328358,2.096471,0.413465,0.700098,3.135135135,81.117
Nicrosaurus kapffi,76.74,0.010554719,40.0285,61.93934999,8.106412,0.126065,0.368572,0.102284,2.485232,1.470557,0.62961,0.824938,2.230521183,86.0935
Rutiodon sp.,62.2,0.045980707,66.70418,71.55948553,6.061477,0.07788,0.296946,0.066803,?,?,?,?,3.101265823,76.908
Machaeroprosopus gregorii ,138.45,0.012423257,42.95414,63.97977609,10.90924,0.118011,0.359991,0.094656,3.499268,1.873682,0.490827,0.744494,2.639455782,85.82
Brachysuchus megalodon,111.45,0.019650067,44.10947,64.22611036,10.98026,0.140581,0.435897,0.123134,2.78125,1.599102,0.582702,0.800311,1.643776824,89.773
Mystriosuchus planirostris,76.85,0.010019519,55.5758,73.11646064,4.459191,0.08873,0.456738,0.070818,4.918367,?,0.371294,?,?,?
Parasuchus hislopi,62.09,0.01159607,52.27895,65.40505718,3.013825,0.090988,0.302585,0.074952,2.60339,1.670631,0.610161,0.785955,?,?
Leptosuchus crosbiensis,83.46,0.019530314,?,65.44452432,8.38876,0.122444,0.399658,0.06463,?,?,?,?,1.606481481,?
Paleorhinus sp.,61.64,0.030012979,53.40688,62.18364698,3.187874,0.104974,0.316435,0.099841,2.94863,1.918051,0.558701,0.735491,?,?
Pseudopalatus buceros,68.54,0.011382003,52.63235,67.69001065,12.67158,0.111839,0.409185,0.092709,2.905325,?,0.564746,?,?,?
Riojasuchus tenuisceps ,21.59,0.040296434,8.059287,41.13015285,10.82203,0.373626,0.615132,0.070929,1.527919,1.565691,0.814197,0.806891,3.266666667,65.34
Ornithosuchus longidens,23.28,0.047680412,?,38.27319588,17.88651,0.255339,0.430056,0.16374,?,?,?,?,2.626262626,60.34
Effigia okeeffeae ,12.46,0.018459069,13.48315,0,32.68754,0.125792,?,0.086878,2.62766,?,0.606291,?,?,?
Shuvosaurus inexpectatus ,19.07,0.021499738,10.90718,0,4.498505,0.113839,?,0.067522,1.717241,2.118629,0.776474,0.695817,?,?
Tikisuchus  romeri ,31.49,0.113369324,?,41.50523976,7.083843,0.245704,0.423829,0.069759,?,?,?,?,?,?
Postosuchus kirkpatricki ,60.52,0.147389293,3.76735,42.81229346,2.117708,0.217326,0.414825,0.099328,3.273418,2.83922,0.516769,0.574194,2.106995885,84.6
Prestosuchus chiniquensis ,47.3,0.016490486,11.47992,40.61310782,5.319435,0.196698,0.340373,0.085427,3.337278,2.379505,0.509184,0.647749,2.964912281,74.626
Erpetosuchus granti,6.91,0.114327062,?,27.93053546,12.57262,0.193603,0.275779,0.161616,?,?,?,?,2.8,60.52
